PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|BICI Internal QS|UNK|USD|685|2009,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,685,USBICI,2009,-,NULL,USD,USD,Y,30476356.00,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,30476356.00,T1,NULL,NULL,UNK,BICI Internal QS,BICI_Earned_Agresso|BICI Internal QS|UNK|USD|685|2009,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|HISTORICAL BLANK|UNK|USD|685|2009,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,685,USBICI,2009,-,NULL,USD,USD,Y,17647.25,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,17647.25,T1,NULL,NULL,UNK,BICI_HISTORICAL,BICI_Earned_Agresso|HISTORICAL BLANK|UNK|USD|685|2009,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|HISTORICAL BLANK|UNK|USD|686|2006,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,686,USBICI,2006,-,NULL,USD,USD,Y,0.00,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,0.00,T1,NULL,NULL,UNK,BICI_HISTORICAL,BICI_Earned_Agresso|HISTORICAL BLANK|UNK|USD|686|2006,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|BICI Internal QS|UNK|USD|686|2008,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,686,USBICI,2008,-,NULL,USD,USD,Y,12896144.86,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,12896144.86,T1,NULL,NULL,UNK,BICI Internal QS,BICI_Earned_Agresso|BICI Internal QS|UNK|USD|686|2008,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|COFFEE|XL|USD|686|2012,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,686,USBICI,2012,-,NULL,USD,USD,Y,22123.00,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,22123.00,T1,NULL,NULL,XL,COFFEE,BICI_Earned_Agresso|COFFEE|XL|USD|686|2012,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|Professions|XL|USD|686|2013,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,686,USBICI,2013,-,NULL,USD,USD,Y,39664.00,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,39664.00,T1,NULL,NULL,XL,Professions,BICI_Earned_Agresso|Professions|XL|USD|686|2013,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|EPL Risk Excess|XL|USD|672|2012,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,672,USBICI,2012,-,NULL,USD,USD,Y,39449.00,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,39449.00,T1,NULL,NULL,XL,EPL Risk Excess,BICI_Earned_Agresso|EPL Risk Excess|XL|USD|672|2012,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|Professions|XL|USD|686|2017,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,686,USBICI,2017,-,NULL,USD,USD,Y,35576.00,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,35576.00,T1,NULL,NULL,XL,Professions,BICI_Earned_Agresso|Professions|XL|USD|686|2017,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|Professions|XL|USD|672|2017,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,672,USBICI,2017,-,NULL,USD,USD,Y,66408.00,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,66408.00,T1,NULL,NULL,XL,Professions,BICI_Earned_Agresso|Professions|XL|USD|672|2017,NULL
NULL,A,P-EP-P-TTY,BICI_Earned_Agresso,01/12/2018,BICI_Earned_Agresso|Professions|XL|USD|672|2018,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,672,USBICI,2018,-,NULL,USD,USD,Y,344254.99,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,344255.00,T1,NULL,NULL,XL,Professions,BICI_Earned_Agresso|Professions|XL|USD|672|2018,NULL
