"PK_Transaction","Scenario","Account","Dataset","DateOfFact","BusinessKey","PolicyNumber","InceptionDate","ExpiryDate","BindDate","DueDate","TrifocusCode","Entity","YOA","TypeOfBusiness","StatsCode","SettlementCCY","OriginalCCY","IsToDate","Value","RowHash","FK_Allocation","DeltaType","AuditSourceBatchID","AuditCreateDateTime","AuditGenerateDateTime","AuditUserCreate","AuditHost","Basis","Location","ValueOrig","BusinessProcessCode","FK_Batch","BoundDate","RIPolicyType","ProgrammeCode","ExcelRowHash","RunNumber"
"","A","CI-LS-TTY-UN","BICI_RI_Incurred","2018-12-01","BFS QS|QS|CPQS09|CPEA|2009","CPQS09","2009-01-01","2009-12-31","1980-01-01","1980-01-01","CPEA","USBICI","2009","-","NULL","USD","USD","Y","388457.0600","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","388457.0600","T1","","","QS","BFS QS","BFS QS|QS|CPQS09|CPEA|2009",""
"","A","CI-LS-TTY-UN","BICI_RI_Incurred","2018-12-01","BICI Internal QS|QS|CPQS09|CPEA|2009","CPQS09","2009-01-01","2009-12-31","1980-01-01","1980-01-01","CPEA","USBICI","2009","-","NULL","USD","USD","Y","464253.5500","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","464253.5500","T1","","","QS","BICI Internal QS","BICI Internal QS|QS|CPQS09|CPEA|2009",""
"","A","CI-LS-TTY-UN","BICI_RI_Incurred","2018-12-01","Internal QS - Marine Falvey|QS|MARQS16|TRI00046|2016","MARQS16","2016-01-01","2016-12-31","1980-01-01","1980-01-01","TRI00046","USBICI","2016","-","NULL","USD","USD","Y","1561871.1000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","1561871.1000","T1","","","QS","Internal QS - Marine Falvey","Internal QS - Marine Falvey|QS|MARQS16|TRI00046|2016",""
"","A","CI-LS-TTY-UN","BICI_RI_Incurred","2018-12-01","Internal QS - Marine Falvey|QS|MARQS17|TRI00046|2017","MARQS17","2017-01-01","2017-12-31","1980-01-01","1980-01-01","TRI00046","USBICI","2017","-","NULL","USD","USD","Y","836752.0700","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","836752.0700","T1","","","QS","Internal QS - Marine Falvey","Internal QS - Marine Falvey|QS|MARQS17|TRI00046|2017",""
"","A","CI-LS-TTY-UN","BICI_RI_Incurred","2018-12-01","MUNQQS|QS|SPEXTQS17|686|2017","SPEXTQS17","2017-01-01","2017-12-31","1980-01-01","1980-01-01","686","USBICI","2017","-","NULL","USD","USD","Y","22267.0300","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","22267.0300","T1","","","QS","MUNQQS","MUNQQS|QS|SPEXTQS17|686|2017",""
"","A","CI-LS-TTY-UN","BICI_RI_Incurred","2018-12-01","MUNQQS|QS|SPEXTQS17|687|2017","SPEXTQS17","2017-01-01","2017-12-31","1980-01-01","1980-01-01","687","USBICI","2017","-","NULL","USD","USD","Y","35128.6400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","35128.6400","T1","","","QS","MUNQQS","MUNQQS|QS|SPEXTQS17|687|2017",""
"","A","CI-LS-TTY-UN","BICI_RI_Incurred","2018-12-01","BICI Internal QS|QS|SPQS10|688|NOYOA","SPQS10","1980-01-01","1980-01-01","1980-01-01","1980-01-01","688","USBICI","NOYOA","-","NULL","USD","USD","Y","-6213.3000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","-6213.3000","T1","","","QS","BICI Internal QS","BICI Internal QS|QS|SPQS10|688|NOYOA",""
"","A","CI-LS-TTY-UN","BICI_RI_Incurred","2018-12-01","BICI Internal QS|QS|SPQS11|668|2011","SPQS11","2011-01-01","2011-12-31","1980-01-01","1980-01-01","668","USBICI","2011","-","NULL","USD","USD","Y","20067720.4600","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","20067720.4600","T1","","","QS","BICI Internal QS","BICI Internal QS|QS|SPQS11|668|2011",""
"","A","CI-LS-UNK-UN","BICI_RI_Incurred","2018-12-01","HISTORICAL BLANK|UNK||686|2008","BICI_HISTORICAL","2008-01-01","2008-12-31","1980-01-01","1980-01-01","686","USBICI","2008","-","NULL","USD","USD","Y","133921.9100","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","133921.9100","T1","","","UNK","BICI_HISTORICAL","HISTORICAL BLANK|UNK||686|2008",""
"","A","CI-LS-UNK-UN","BICI_RI_Incurred","2018-12-01","BICI Internal QS|UNK||687|2008","BICI_HISTORICAL","2008-01-01","2008-12-31","1980-01-01","1980-01-01","687","USBICI","2008","-","NULL","USD","USD","Y",".0100","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-",".0100","T1","","","UNK","BICI Internal QS","BICI Internal QS|UNK||687|2008",""
