PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
NULL,A,P-OR-P-TTY,BICI_ORC_TACTICAL,2019-06-01,P-OR-P-TTY|R0895A17|A&E Lawyers QS|8022|2017|USD|668,R0895A17,2017-01-01,2017-12-31,1980-01-01,1980-01-01,668,USBICI,2017,-,NULL,USD,USD,Y,19516.6741,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,19516.6741,T1,NULL,NULL,QS,A&E Lawyers QS,P-OR-P-TTY|R0895A17|A&E Lawyers QS|8022|2017|USD|668,NULL
NULL,A,P-OR-P-TTY,BICI_ORC_TACTICAL,2019-06-01,P-OR-P-TTY|R0957A19|Cyber QS|8022|2019|USD|722,R0957A19,2019-01-01,2019-12-31,1980-01-01,1980-01-01,722,USBICI,2019,-,NULL,USD,USD,Y,75460.0000,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,75460.0000,T1,NULL,NULL,QS,Cyber QS,P-OR-P-TTY|R0957A19|Cyber QS|8022|2019|USD|722,NULL
NULL,A,P-OR-P-TTY,BICI_ORC_TACTICAL,2019-06-01,P-OR-P-TTY|R0139M16|MUNICH - Surplus|8022|2016|USD|671,R0139M16,2016-01-01,2016-12-31,1980-01-01,1980-01-01,671,USBICI,2016,-,NULL,USD,USD,Y,-14830.1296,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,-14830.1296,T1,NULL,NULL,QS,MUNICH - Surplus,P-OR-P-TTY|R0139M16|MUNICH - Surplus|8022|2016|USD|671,NULL
NULL,A,P-OR-P-TTY,BICI_ORC_TACTICAL,2019-06-01,P-OR-P-TTY|R0139M16|MUNICH - Surplus|8022|2016|USD|672,R0139M16,2016-01-01,2016-12-31,1980-01-01,1980-01-01,672,USBICI,2016,-,NULL,USD,USD,Y,-2608.3612,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,-2608.3612,T1,NULL,NULL,QS,MUNICH - Surplus,P-OR-P-TTY|R0139M16|MUNICH - Surplus|8022|2016|USD|672,NULL
NULL,A,P-OR-P-TTY,BICI_ORC_TACTICAL,2019-06-01,P-OR-P-TTY|R0927A16|Environmental QS|8022|2016|USD|700,R0927A16,2016-01-01,2016-12-31,1980-01-01,1980-01-01,700,USBICI,2016,-,NULL,USD,USD,Y,-143735.8600,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,-143735.8600,T1,NULL,NULL,QS,Environmental QS,P-OR-P-TTY|R0927A16|Environmental QS|8022|2016|USD|700,NULL
NULL,A,P-OR-P-TTY,BICI_ORC_TACTICAL,2019-06-01,P-OR-P-TTY|R0950A16|Cyber QS|8022|2016|USD|713,R0950A16,2016-01-01,2016-12-31,1980-01-01,1980-01-01,713,USBICI,2016,-,NULL,USD,USD,Y,-502.6926,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,-502.6926,T1,NULL,NULL,QS,Cyber QS,P-OR-P-TTY|R0950A16|Cyber QS|8022|2016|USD|713,NULL
NULL,A,PC-LS-OR-TTY,BICI_ORC_TACTICAL,2019-06-01,PC-LS-OR-TTY|MUNQQS|2018|USD|8022|668,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,668,USBICI,2018,-,NULL,USD,USD,Y,-23234.0300,NULL,NULL,Adjustment,NULL,NULL,NULL,NULL,NULL,E,-,-23234.0300,T1,NULL,NULL,QS,MUNQQS,PC-LS-OR-TTY|MUNQQS|2018|USD|8022|668,NULL
NULL,A,PC-LS-OR-TTY,BICI_ORC_TACTICAL,2019-06-01,PC-LS-OR-TTY|MUNQQS|2017|USD|8022|671,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,671,USBICI,2017,-,NULL,USD,USD,Y,264.2400,NULL,NULL,Adjustment,NULL,NULL,NULL,NULL,NULL,E,-,264.2400,T1,NULL,NULL,QS,MUNQQS,PC-LS-OR-TTY|MUNQQS|2017|USD|8022|671,NULL
NULL,A,PC-LS-OR-TTY,BICI_ORC_TACTICAL,2019-06-01,PC-LS-OR-TTY|MUNICH - Surplus|2018|USD|8022|668,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,668,USBICI,2018,-,NULL,USD,USD,Y,12778.8400,NULL,NULL,Adjustment,NULL,NULL,NULL,NULL,NULL,E,-,12778.8400,T1,NULL,NULL,QS,MUNICH - Surplus,PC-LS-OR-TTY|MUNICH - Surplus|2018|USD|8022|668,NULL
NULL,A,PC-LS-OR-TTY,BICI_ORC_TACTICAL,2019-06-01,PC-LS-OR-TTY|MUNQQS|2018|USD|8022|671,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,671,USBICI,2018,-,NULL,USD,USD,Y,-23649.7800,NULL,NULL,Adjustment,NULL,NULL,NULL,NULL,NULL,E,-,-23649.7800,T1,NULL,NULL,QS,MUNQQS,PC-LS-OR-TTY|MUNQQS|2018|USD|8022|671,NULL
