"PK_Transaction","Scenario","Account","Dataset","DateOfFact","BusinessKey","PolicyNumber","InceptionDate","ExpiryDate","BindDate","DueDate","TrifocusCode","Entity","YOA","TypeOfBusiness","StatsCode","SettlementCCY","OriginalCCY","IsToDate","Value","RowHash","FK_Allocation","DeltaType","AuditSourceBatchID","AuditCreateDateTime","AuditGenerateDateTime","AuditUserCreate","AuditHost","Basis","Location","ValueOrig","BusinessProcessCode","FK_Batch","BoundDate","RIPolicyType","ProgrammeCode","ExcelRowHash","RunNumber"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS12|675|2012","SPQS12","2012-01-01","2012-12-31","1980-01-01","1980-01-01","675","USBICI","2012","-","NULL","USD","USD","Y","887981.9200","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","887981.9200","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS12|675|2012","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|QS|SPQS12|685|2012","SPQS12","2012-01-01","2012-12-31","1980-01-01","1980-01-01","685","USBICI","2012","-","NULL","USD","USD","Y","3164062.4900","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","3164062.4900","T1","NULL","NULL","QS","BICI Internal QS","BICI Internal QS|QS|SPQS12|685|2012","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","US Boiler & Machinery|QS|RICPBM|CPCE|2009","RICPBM","2009-01-01","2009-12-31","1980-01-01","1980-01-01","CPCE","USBICI","2009","-","NULL","USD","USD","Y","41486.0000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","41486.0000","T1","NULL","NULL","QS","US Boiler & Machinery","US Boiler & Machinery|QS|RICPBM|CPCE|2009","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","HISTORICAL BLANK|UNK||668|2007","BICI_HISTORICAL","2007-01-01","2007-12-31","1980-01-01","1980-01-01","668","USBICI","2007","-","NULL","USD","USD","Y","4497578.5000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","4497578.5000","T1","NULL","NULL","UNK","BICI_HISTORICAL","HISTORICAL BLANK|UNK||668|2007","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|UNK||671|2007","BICI_HISTORICAL","2007-01-01","2007-12-31","1980-01-01","1980-01-01","671","USBICI","2007","-","NULL","USD","USD","Y","-104649.8300","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","-104649.8300","T1","NULL","NULL","UNK","BICI Internal QS","BICI Internal QS|UNK||671|2007","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","HISTORICAL BLANK|UNK||671|2007","BICI_HISTORICAL","2007-01-01","2007-12-31","1980-01-01","1980-01-01","671","USBICI","2007","-","NULL","USD","USD","Y","104649.8300","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","104649.8300","T1","NULL","NULL","UNK","BICI_HISTORICAL","HISTORICAL BLANK|UNK||671|2007","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|UNK||672|2007","BICI_HISTORICAL","2007-01-01","2007-12-31","1980-01-01","1980-01-01","672","USBICI","2007","-","NULL","USD","USD","Y","-393651.4800","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","-393651.4800","T1","NULL","NULL","UNK","BICI Internal QS","BICI Internal QS|UNK||672|2007","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","HISTORICAL BLANK|UNK||672|2007","BICI_HISTORICAL","2007-01-01","2007-12-31","1980-01-01","1980-01-01","672","USBICI","2007","-","NULL","USD","USD","Y","393651.4800","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","393651.4800","T1","NULL","NULL","UNK","BICI_HISTORICAL","HISTORICAL BLANK|UNK||672|2007","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|UNK||686|2007","BICI_HISTORICAL","2007-01-01","2007-12-31","1980-01-01","1980-01-01","686","USBICI","2007","-","NULL","USD","USD","Y","-74361.9300","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","-74361.9300","T1","NULL","NULL","UNK","BICI Internal QS","BICI Internal QS|UNK||686|2007","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","HISTORICAL BLANK|UNK||668|2006","BICI_HISTORICAL","2006-01-01","2006-12-31","1980-01-01","1980-01-01","668","USBICI","2006","-","NULL","USD","USD","Y","70950.0800","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","70950.0800","T1","NULL","NULL","UNK","BICI_HISTORICAL","HISTORICAL BLANK|UNK||668|2006","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","BICI Internal QS|UNK||BUSASL|2006","BICI_HISTORICAL","2006-01-01","2006-12-31","1980-01-01","1980-01-01","BUSASL","USBICI","2006","-","NULL","USD","USD","Y","-189940.4400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","-189940.4400","T1","NULL","NULL","UNK","BICI Internal QS","BICI Internal QS|UNK||BUSASL|2006","NULL"
"NULL","A","CC-LS-UNK-UN","BICI_RI_Paid","2018-12-01","HISTORICAL BLANK|UNK||BUSASL|2006","BICI_HISTORICAL","2006-01-01","2006-12-31","1980-01-01","1980-01-01","BUSASL","USBICI","2006","-","NULL","USD","USD","Y","189940.4400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","189940.4400","T1","NULL","NULL","UNK","BICI_HISTORICAL","HISTORICAL BLANK|UNK||BUSASL|2006","NULL"
"NULL","A","CC-LS-TTY-UN","BICI_RI_Paid","2018-12-01","BFS QS|QS|CPQS07|CPEA|2007","CPQS07","2007-01-01","2007-12-31","1980-01-01","1980-01-01","CPEA","USBICI","2007","-","NULL","USD","USD","Y","78280.2800","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","B","-","78280.2800","T1","NULL","NULL","QS","BFS QS","BFS QS|QS|CPQS07|CPEA|2007","NULL"
