"PK_Transaction","Scenario","Account","Dataset","DateOfFact","BusinessKey","PolicyNumber","InceptionDate","ExpiryDate","BindDate","DueDate","TrifocusCode","Entity","YOA","TypeOfBusiness","StatsCode","SettlementCCY","OriginalCCY","IsToDate","Value","RowHash","FK_Allocation","DeltaType","AuditSourceBatchID","AuditCreateDateTime","AuditGenerateDateTime","AuditUserCreate","AuditHost","Basis","Location","ValueOrig","BusinessProcessCode","FK_Batch","BoundDate","RIPolicyType","ProgrammeCode","ExcelRowHash","RunNumber"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","BFS QS|QS|2009|CPWE|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","CPWE","USBICI","2009","-","NULL","USD","USD","Y","2891328.0700","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","2891328.0700","T1","NULL","NULL","QS","BFS QS","BFS QS|QS|2009|CPWE|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","BFS QS|QS|2010|CPCE|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","CPCE","USBICI","2010","-","NULL","USD","USD","Y","544049.9500","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","544049.9500","T1","NULL","NULL","QS","BFS QS","BFS QS|QS|2010|CPCE|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","BFS QS|QS|2010|CPEA|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","CPEA","USBICI","2010","-","NULL","USD","USD","Y","29986.0400","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","29986.0400","T1","NULL","NULL","QS","BFS QS","BFS QS|QS|2010|CPEA|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","BFS QS|QS|2010|CPWE|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","CPWE","USBICI","2010","-","NULL","USD","USD","Y","32450.0000","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","32450.0000","T1","NULL","NULL","QS","BFS QS","BFS QS|QS|2010|CPWE|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","BFS QS|QS|NOYOA|CPCE|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","CPCE","USBICI","NOYOA","-","NULL","USD","USD","Y","6352771.1500","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","6352771.1500","T1","NULL","NULL","QS","BFS QS","BFS QS|QS|NOYOA|CPCE|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","BFS QS|QS|NOYOA|CPEA|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","CPEA","USBICI","NOYOA","-","NULL","USD","USD","Y","331457.0100","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","331457.0100","T1","NULL","NULL","QS","BFS QS","BFS QS|QS|NOYOA|CPEA|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","BFS QS|QS|NOYOA|CPWE|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","CPWE","USBICI","NOYOA","-","NULL","USD","USD","Y","-516857.9300","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","-516857.9300","T1","NULL","NULL","QS","BFS QS","BFS QS|QS|NOYOA|CPWE|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","Environmental QS|QS|2016|700|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","700","USBICI","2016","-","NULL","USD","USD","Y","549314.4737","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","549314.4737","T1","NULL","NULL","QS","Environmental QS","Environmental QS|QS|2016|700|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","Environmental QS|QS|2017|700|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","700","USBICI","2017","-","NULL","USD","USD","Y","1132184.9842","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","1132184.9842","T1","NULL","NULL","QS","Environmental QS","Environmental QS|QS|2017|700|USD","NULL"
"NULL","A","RC-P-T-TTY","BICI RI Ultimate Claim","2018-12-01","Environmental QS|QS|2018|700|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","700","USBICI","2018","-","NULL","USD","USD","Y","1860082.2558","NULL","NULL","New","NULL","NULL","NULL","NULL","NULL","E","-","1860082.2558","T1","NULL","NULL","QS","Environmental QS","Environmental QS|QS|2018|700|USD","NULL"
