Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|688,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,688,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|688,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|696,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,696,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|696,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|699,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,699,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|699,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|700,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,700,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|700,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|713,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,713,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|713,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|715,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,715,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|715,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|719,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,719,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|719,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|722,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,722,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|722,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|735,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,735,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|735,NULL
F,P-RP-P-TTY,BICI_RI_Ultimate_Premium,01/12/2019,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|736,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,736,8022,2016,-,NULL,USD,USD,Y,0,NULL,NULL,Reversal,NULL,NULL,NULL,NULL,NULL,E,-,0,T1,NULL,NULL,XL,Systemic cover - Clash,ObligatedPremium_SL/CyEx|Systemic cover - Clash|2016|USD|736,NULL
