PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx350|XL|Property Cat XL,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,148667.0831,,-1,New,,,,,,-,-,148667.0831,,,,XL,Property Cat XL,P-RP-P-TTY|01/07/2019|01/07/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx350|XL|Property Cat XL,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx420|XL|Property Cat XL,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,70315.4229,,-1,New,,,,,,-,-,70315.4229,,,,XL,Property Cat XL,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx420|XL|Property Cat XL,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/07/2019|01/07/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx445|XL|Property Cat XL,NOPOLICY,01/07/2019,01/07/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,35339.0012,,-1,New,,,,,,-,-,35339.0012,,,,XL,Property Cat XL,P-RP-P-TTY|01/07/2019|01/07/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx445|XL|Property Cat XL,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Property Cat XL RPP|XL|Property Cat XL,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,17742.0978,,-1,New,,,,,,-,-,17742.0978,,,,XL,Property Cat XL,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Property Cat XL RPP|XL|Property Cat XL,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/01/2019|01/01/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|HVH Fac|XL|Commercial Facultative spend,NOPOLICY,01/01/2019,01/01/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,180400,,-1,New,,,,,,-,-,180400,,,,XL,Commercial Facultative spend,P-RP-P-TTY|01/01/2019|01/01/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|HVH Fac|XL|Commercial Facultative spend,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx75|XL|Property Cat XL,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,1072240.495,,-1,New,,,,,,-,-,1072240.495,,,,XL,Property Cat XL,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx75|XL|Property Cat XL,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx150|XL|Property Cat XL,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,653726.5768,,-1,New,,,,,,-,-,653726.5768,,,,XL,Property Cat XL,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx150|XL|Property Cat XL,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx225|XL|Property Cat XL,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,422910.8019,,-1,New,,,,,,-,-,422910.8019,,,,XL,Property Cat XL,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx225|XL|Property Cat XL,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx300a|XL|Property Cat XL,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,238976.2254,,-1,New,,,,,,-,-,238976.2254,,,,XL,Property Cat XL,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx300a|XL|Property Cat XL,0
,F,P-RP-P-TTY,BusinessPlanRI,01/12/2018,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx300b|XL|Property Cat XL,NOPOLICY,01/04/2019,01/04/2020,01/01/1980,01/01/1980,TRI00002,2623,2019,N,,USD,USD,Y,108512.2613,,-1,New,,,,,,-,-,108512.2613,,,,XL,Property Cat XL,P-RP-P-TTY|01/04/2019|01/04/2020|TRI00002|2623|2019|USD|1|BUSA Homeowners|XL|Propertyx300b|XL|Property Cat XL,0
