AccountingPeriod,PolicyNumber,yoa,focus_area,TrifocusCode,TrifocusName,Entity,SignedValue,SignedLinePercent,SettlementCCY,OrgininalValue,OriginalCCY,MC_OriginalValue,MC_OrgininalCCY,mop,tot,Multiyear,statscode,Inception,Expiry,AccountKey
202301,ZP501E14APCZ,2014,Cat                      ,TRI00004,Cat,623,7059.5327,5.7140,USD,123548,USD,,,Z  ,2014-01-31 00:00:00,N,SC ,2014-01-01 00:00:00,2014-12-31 00:00:00,GPE-RP-P
202301,ZP501E15APCZ,2015,Cat                      ,TRI00004,Cat,623,1540.2087,5.7140,USD,26955,USD,,,Z  ,2015-01-31 00:00:00,N,SC ,2015-01-01 00:00:00,2015-12-31 00:00:00,GPE-RP-P
202301,ZP432X16BPCZ,2016,Cat                      ,TRI00004,Cat,623,28108.0380,4.7600,USD,590505,USD,,,Z  ,2016-01-31 00:00:00,N,SC ,2016-01-01 00:00:00,2016-12-31 00:00:00,GPE-RP-P
202301,ZP433F16BPCZ,2016,Cat                      ,TRI00004,Cat,623,9241.0164,4.7600,USD,194139,USD,,,Z  ,2016-01-31 00:00:00,N,SC ,2016-01-01 00:00:00,2016-12-31 00:00:00,GPE-RP-P
202301,ZP398J14APCW,2014,Cat                      ,TRI00004,Cat,623,4392.6252,3.8100,USD,115292,USD,,,Z  ,2014-01-31 00:00:00,N,SC ,2014-01-01 00:00:00,2014-12-31 00:00:00,GPE-RP-P
202301,X1554G05ANCW,2005,Cat                      ,TRI00004,Cat,623,46376.1500,19.0000,USD,244085,USD,,,X  ,2005-01-31 00:00:00,N,00 ,2005-01-01 00:00:00,2006-02-28 00:00:00,GPE-RP-P
202301,X1539V03ANCS,2003,Cat                      ,TRI00004,Cat,623,8696.5298,3.4000,USD,255780.29000000001,USD,,,X  ,2003-08-31 00:00:00,N,00 ,2003-07-01 00:00:00,2004-06-30 00:00:00,GPE-RP-P
202301,X1508K08ANCW,2008,Cat                      ,TRI00004,Cat,623,211575.0000,.2730,USD,77500000,USD,,,X  ,2008-02-15 00:00:00,N,00 ,2008-01-15 00:00:00,2009-01-14 00:00:00,GPE-RP-P
202301,X1410X04ANCW,2004,Cat                      ,TRI00004,Cat,623,134934.9546,7.1700,USD,1881938,USD,,,X  ,2004-02-28 00:00:00,N,00 ,2004-01-01 00:00:00,2004-12-31 00:00:00,GPE-RP-P
202301,X1410X04BNCB,2004,Cat                      ,TRI00004,Cat,623,12420.5208,8.9400,USD,138932,USD,,,X  ,2004-10-15 00:00:00,N,00 ,2004-01-01 00:00:00,2004-12-31 00:00:00,GPE-RP-P
202301,X1390L13APCC,2013,Cat                      ,TRI00004,Cat,623,5576.0291,3.0000,GBP,3364577,ZAR,,,X  ,2013-10-30 00:00:00,N,SC ,2013-10-01 00:00:00,2014-09-30 00:00:00,GPE-RP-P
202301,X1390L17APCC,2017,Cat                      ,TRI00004,Cat,623,1089.8106,2.5000,GBP,869478,ZAR,,,X  ,2017-10-30 00:00:00,N,SC ,2017-10-01 00:00:00,2018-09-30 00:00:00,GPE-RP-P
202301,X1390L21APCC,2021,Cat                      ,TRI00004,Cat,623,1729.8496,2.5000,GBP,1376386,ZAR,,,X  ,2021-11-15 00:00:00,N,SC ,2021-10-01 00:00:00,2022-09-30 00:00:00,GPE-RP-P
202301,X1410X05ANCW,2005,Cat                      ,TRI00004,Cat,623,163379.0761,6.4125,USD,2547821.8500000001,USD,,,X  ,2005-01-31 00:00:00,N,00 ,2005-01-01 00:00:00,2005-12-31 00:00:00,GPE-RP-P
202301,X1327H04ANCC,2004,Cat                      ,TRI00004,Cat,623,6391.6050,.7500,GBP,852214,GBP,,,X  ,2004-04-30 00:00:00,N,00 ,2004-04-01 00:00:00,2005-03-31 00:00:00,GPE-RP-P
202301,X1320K97AACC,1997,Cat                      ,TRI00004,Cat,623,5244.5827,.3480,CAD,1507064,CAD,,,X  ,1997-07-01 00:00:00,N,04 ,1997-04-01 00:00:00,1998-03-31 00:00:00,GPE-RP-P
202301,X1260B01ANCZ,2001,Cat                      ,TRI00004,Cat,623,33.9269,1.4255,USD,2380,USD,,,X  ,2001-04-01 00:00:00,N,00 ,2001-01-01 00:00:00,2001-12-31 00:00:00,GPE-RP-P
202301,X1241X13APCC,2013,Cat                      ,TRI00004,Cat,623,30152.0100,3.0000,CAD,1005067,CAD,,,X  ,2013-01-31 00:00:00,N,SC ,2013-01-01 00:00:00,2013-12-31 00:00:00,GPE-RP-P
202301,X1223C05ANCS,2005,Cat                      ,TRI00004,Cat,623,8885.9117,1.1970,USD,742348.52000000002,USD,,,X  ,2005-01-31 00:00:00,N,00 ,2005-01-01 00:00:00,2005-12-31 00:00:00,GPE-RP-P
202301,X1223C08ANCS,2008,Cat                      ,TRI00004,Cat,623,42461.2795,2.6153,USD,1623541,USD,,,X  ,2008-01-31 00:00:00,N,00 ,2008-01-01 00:00:00,2008-12-31 00:00:00,GPE-RP-P
202301,X1223C11APCS,2011,Cat                      ,TRI00004,Cat,623,119254.7652,2.5250,USD,4722961,USD,,,X  ,2011-01-31 00:00:00,N,SC ,2011-01-01 00:00:00,2011-12-31 00:00:00,GPE-RP-P
202301,X1184N17APCW,2017,Cat                      ,TRI00004,Cat,623,1789.3575,1.3500,USD,132545,USD,,,X  ,2017-01-31 00:00:00,N,SC ,2017-01-01 00:00:00,2017-12-31 00:00:00,GPE-RP-P
202301,X1154S05ANCW,2005,Cat                      ,TRI00004,Cat,623,13792.0050,1.3442,USD,1026000,USD,,,X  ,2005-02-17 00:00:00,N,00 ,2005-01-01 00:00:00,2005-12-31 00:00:00,GPE-RP-P
202301,X1156L17APCC,2017,Cat                      ,TRI00004,Cat,623,36895.5000,.5000,USD,7379100,USD,,,X  ,2017-01-31 00:00:00,N,SC ,2017-01-01 00:00:00,2018-03-31 00:00:00,GPE-RP-P
202301,X1118E93ANCC,1993,Cat                      ,TRI00004,Cat,623,47.6551,.1626,CAD,29301,CAD,,,X  ,1993-03-02 00:00:00,N,00 ,1993-01-01 00:00:00,1993-12-31 00:00:00,GPE-RP-P
202301,X0970Z04ANCC,2004,Cat                      ,TRI00004,Cat,623,18627.3774,2.1020,GBP,886174,GBP,,,X  ,2004-04-30 00:00:00,N,00 ,2004-04-01 00:00:00,2005-03-31 00:00:00,GPE-RP-P
202301,X0898D17APCC,2017,Cat                      ,TRI00004,Cat,623,95950.0000,2.5000,USD,3838000,USD,,,X  ,2017-07-31 00:00:00,N,SC ,2017-05-01 00:00:00,2018-03-31 00:00:00,GPE-RP-P
202301,X0670A04ANCC,2004,Cat                      ,TRI00004,Cat,623,23317.5200,3.0900,GBP,124439266,JPY,,,X  ,2004-04-30 00:00:00,N,00 ,2004-04-01 00:00:00,2005-03-31 00:00:00,GPE-RP-P
202301,X0670A06ANCC,2006,Cat                      ,TRI00004,Cat,623,2088.3200,3.2000,GBP,65260,GBP,,,X  ,2006-04-30 00:00:00,N,00 ,2006-04-01 00:00:00,2007-03-31 00:00:00,GPE-RP-P
202301,X0670A10APCC,2010,Cat                      ,TRI00004,Cat,623,72508.6370,4.5000,GBP,206920798,JPY,,,X  ,2010-04-30 00:00:00,N,SC ,2010-04-01 00:00:00,2011-03-31 00:00:00,GPE-RP-P
202301,X0247H06ANCA,2006,Cat                      ,TRI00004,Cat,623,2470.0524,4.8945,USD,50465.879999999997,USD,,,X  ,2006-02-28 00:00:00,N,00 ,2006-01-01 00:00:00,2006-12-31 00:00:00,GPE-RP-P
202301,X0142Q05ANCC,2005,Cat                      ,TRI00004,Cat,623,47528.7044,4.1895,USD,1134472,USD,,,X  ,2005-01-31 00:00:00,N,00 ,2005-01-01 00:00:00,2005-12-31 00:00:00,GPE-RP-P
202301,X0142Q08ANCC,2008,Cat                      ,TRI00004,Cat,623,54637.6907,2.7208,USD,2008148,USD,,,X  ,2008-01-31 00:00:00,N,00 ,2008-01-01 00:00:00,2008-12-31 00:00:00,GPE-RP-P
202301,X0059E05ANCW,2005,Cat                      ,TRI00004,Cat,623,29691.7341,1.5000,USD,1979448.9399999999,USD,,,X  ,2005-01-31 00:00:00,N,00 ,2005-01-01 00:00:00,2005-12-31 00:00:00,GPE-RP-P
202301,X0061E14APCZ,2014,Cat                      ,TRI00004,Cat,623,11547.3060,1.8000,USD,641517,USD,,,X  ,2014-01-31 00:00:00,N,SC ,2014-01-01 00:00:00,2014-12-31 00:00:00,GPE-RP-P
202301,X0061E14BPCZ,2014,Cat                      ,TRI00004,Cat,623,3663.3000,.6000,USD,610550,USD,,,X  ,2014-01-31 00:00:00,N,SC ,2014-01-01 00:00:00,2014-12-31 00:00:00,GPE-RP-P
202301,X0061E17APCZ,2017,Cat                      ,TRI00004,Cat,623,9029.4300,.5000,USD,1805886,USD,,,X  ,2017-01-31 00:00:00,N,SC ,2017-01-01 00:00:00,2017-12-31 00:00:00,GPE-RP-P
202301,X0061E17CPCZ,2017,Cat                      ,TRI00004,Cat,623,5402.8800,.6000,USD,900480,USD,,,X  ,2017-01-31 00:00:00,N,SC ,2017-01-01 00:00:00,2017-12-31 00:00:00,GPE-RP-P
202301,X0061E20APCZ,2020,Cat                      ,TRI00004,Cat,623,4224.2554,.4299,USD,982385,USD,,,X  ,2020-01-31 00:00:00,N,SC ,2020-01-01 00:00:00,2020-12-31 00:00:00,GPE-RP-P
202301,TQ023F21APCC,2021,Cat                      ,TRI00004,Cat,623,56837.2500,15.0000,USD,378915,USD,,,T  ,2021-09-10 00:00:00,N,SC ,2021-06-01 00:00:00,2022-05-31 00:00:00,GPE-RP-P
