Policy Ref,Entity,Value,TriFocus,CCY,YOA,Date Of Fact,Source File
JD792G09AFDF,623,682.1285,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
JD792G09AFDF,2623,2908.0215,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
JH817J09AFDF,623,77.6701,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
JH817J09AFDF,2623,331.1199,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
JY755G09AFDF,623,957.8964,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
JY755G09AFDF,2623,4083.6636,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
JY755G09JFDF,623,957.8964,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
JY755G09JFDF,2623,4083.6636,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0139M08,623,53231.7984,n/a,USD,2008,01/12/2018,Aon Broker Rebates @2009
R0139M08,2623,226935.5616,n/a,USD,2008,01/12/2018,Aon Broker Rebates @2009
R0139M08,623,4718.5075,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @2009
R0139M08,2623,20115.7425,n/a,GBP,2008,01/12/2018,Aon Broker Rebates @2009
R0139M08,623,4408.0627,n/a,EUR,2008,01/12/2018,Aon Broker Rebates @2009
R0139M08,2623,18792.2673,n/a,EUR,2008,01/12/2018,Aon Broker Rebates @2009
R0139M08,623,3833.0448,n/a,CAD,2008,01/12/2018,Aon Broker Rebates @2009
R0139M08,2623,16340.8752,n/a,CAD,2008,01/12/2018,Aon Broker Rebates @2009
R0139M09,623,49219.9788,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0139M09,2623,209832.5412,n/a,USD,2009,01/12/2018,Aon Broker Rebates @2009
R0139M09,623,2009.5141,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0139M09,2623,8566.8759,n/a,GBP,2009,01/12/2018,Aon Broker Rebates @2009
R0139M09,623,1859.5338,n/a,EUR,2009,01/12/2018,Aon Broker Rebates @2009
R0139M09,2623,7927.4862,n/a,EUR,2009,01/12/2018,Aon Broker Rebates @2009
R0139M09,623,2658.2064,n/a,CAD,2009,01/12/2018,Aon Broker Rebates @2009
R0139M09,2623,11332.3536,n/a,CAD,2009,01/12/2018,Aon Broker Rebates @2009
R0404A08,623,-2093.8988,n/a,USD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0404A08,2623,-8926.6212,n/a,USD,2008,01/12/2018,Willis Broker Rebate @ 2009
R0404A08,623,313.2435,n/a,GBP,2008,01/12/2018,Willis Broker Rebate @ 2009
R0404A08,2623,1335.4065,n/a,GBP,2008,01/12/2018,Willis Broker Rebate @ 2009
