"Scenario","Account","Dataset","DateOfFact","BusinessKey","PolicyNumber","InceptionDate","ExpiryDate","BindDate","DueDate","TrifocusCode","Entity","YOA","TypeOfBusiness","StatsCode","SettlementCCY","OriginalCCY","IsToDate","Value","RowHash","FK_Allocation","DeltaType","AuditSourceBatchID","AuditCreateDateTime","AuditGenerateDateTime","AuditUserCreate","AuditHost","Basis","Location","ValueOrig","BusinessProcessCode","FK_Batch","BoundDate","RIPolicyType","ProgrammeCode","ExcelRowHash","RunNumber"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|2623|TRI00004|2018|GBP","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","TRI00004","2623","2018","-","NULL","GBP","GBP","Y","-272136.8112","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","-272136.8112","T1","NULL","NULL","QS","Cede 6107","Cede 6107|2623|TRI00004|2018|GBP","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|623|714|2017|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","714","623","2017","-","NULL","USD","USD","Y","2148.9444","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","2148.9444","T1","NULL","NULL","QS","Cede 6107","Cede 6107|623|714|2017|USD","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|2623|721|2018|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","721","2623","2018","-","NULL","USD","USD","Y","57923.8226","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","57923.8226","T1","NULL","NULL","QS","Cede 6107","Cede 6107|2623|721|2018|USD","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|623|721|2017|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","721","623","2017","-","NULL","USD","USD","Y","3060.0000","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","3060.0000","T1","NULL","NULL","QS","Cede 6107","Cede 6107|623|721|2017|USD","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|2623|770|2017|CAD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","770","2623","2017","-","NULL","CAD","CAD","Y","1898.6362","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","1898.6362","T1","NULL","NULL","QS","Cede 6107","Cede 6107|2623|770|2017|CAD","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|2623|770|2017|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","770","2623","2017","-","NULL","USD","USD","Y","3600.9004","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","3600.9004","T1","NULL","NULL","QS","Cede 6107","Cede 6107|2623|770|2017|USD","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|2623|714|2017|USD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","714","2623","2017","-","NULL","USD","USD","Y","9789.6356","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","9789.6356","T1","NULL","NULL","QS","Cede 6107","Cede 6107|2623|714|2017|USD","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|2623|744|2017|CAD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","744","2623","2017","-","NULL","CAD","CAD","Y","-3649.2985","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","-3649.2985","T1","NULL","NULL","QS","Cede 6107","Cede 6107|2623|744|2017|CAD","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|623|744|2017|CAD","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","744","623","2017","-","NULL","CAD","CAD","Y","-801.0655","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","-801.0655","T1","NULL","NULL","QS","Cede 6107","Cede 6107|623|744|2017|CAD","NULL"
"A","P-RP-P-TTY","ObligatedPremium_SPA","2019-03-01","Cede 6107|623|744|2017|EUR","NOPOLICY","1980-01-01","1980-01-01","1980-01-01","1980-01-01","744","623","2017","-","NULL","EUR","EUR","Y","-4797.8195","NULL","NULL","Adjustment","NULL","NULL","NULL","NULL","NULL","E","-","-4797.8195","T1","NULL","NULL","QS","Cede 6107","Cede 6107|623|744|2017|EUR","NULL"
