Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,RIPolicyType,ProgrammeCode,ExcelRowHash,RunNumber
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 6107|623|770|2018|USD,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,770,623,2018,-,NULL,USD,USD,Y,-22896.7997,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-22896.7997,T1,NULL,NULL,QS,Cede 6107,Cede 6107|623|770|2018|USD,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 6107|2623|744|2017|USD,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,744,2623,2017,-,NULL,USD,USD,Y,-580840.7081,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-580840.7081,T1,NULL,NULL,QS,Cede 6107,Cede 6107|2623|744|2017|USD,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 6107|623|744|2018|CAD,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,744,623,2018,-,NULL,CAD,CAD,Y,-41519.327,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-41519.327,T1,NULL,NULL,QS,Cede 6107,Cede 6107|623|744|2018|CAD,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 6107|623|744|2018|USD,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,744,623,2018,-,NULL,USD,USD,Y,-125566.5956,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-125566.5956,T1,NULL,NULL,QS,Cede 6107,Cede 6107|623|744|2018|USD,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 6107|2623|766|2017|USD,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,766,2623,2017,-,NULL,USD,USD,Y,-1212131.79,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-1212131.79,T1,NULL,NULL,QS,Cede 6107,Cede 6107|2623|766|2017|USD,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 6107|623|770|2018|EUR,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,770,623,2018,-,NULL,EUR,EUR,Y,-31766.1145,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-31766.1145,T1,NULL,NULL,QS,Cede 6107,Cede 6107|623|770|2018|EUR,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 5623|3623|808|2018|CAD,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,808,3623,2018,-,NULL,CAD,CAD,Y,-247827.0967,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-247827.0967,T1,NULL,NULL,QS,Cede 5623,Cede 5623|3623|808|2018|CAD,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 5623|3623|900|2018|GBP,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,900,3623,2018,-,NULL,GBP,GBP,Y,-478930.3942,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-478930.3942,T1,NULL,NULL,QS,Cede 5623,Cede 5623|3623|900|2018|GBP,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 5623|3623|808|2018|GBP,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,808,3623,2018,-,NULL,GBP,GBP,Y,-14928.8692,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-14928.8692,T1,NULL,NULL,QS,Cede 5623,Cede 5623|3623|808|2018|GBP,NULL
F,P-UL-P-TTY,UltimatePremium_SPA,01/12/2018,Cede 5623|3623|809|2018|EUR,NOPOLICY,01/01/1980,01/01/1980,01/01/1980,01/01/1980,809,3623,2018,-,NULL,EUR,EUR,Y,-75000.5955,NULL,NULL,New,NULL,NULL,NULL,NULL,NULL,E,-,-75000.5955,T1,NULL,NULL,QS,Cede 5623,Cede 5623|3623|809|2018|EUR,NULL
