IFRS17_Programme Group,Reinsurance policy reference,Year,Focus Area,Currency,Value,Date of Fact,Entity
Marine TLO,R0208A02    ,2002,hull,GBP,9023,01/09/2023,2623
Marine TLO,R0208A02    ,2002,hull,CAD,72345,01/09/2023,2623
Marine TLO,R0208A01    ,2001,hull,GBP,2352,01/09/2023,2623
Marine TLO,R0208A01    ,2001,hull,CAD,853452,01/09/2023,2623
Marine TLO,R0208A00    ,2000,hull,GBP,1983,01/09/2023,623
Marine TLO,R0208A00    ,2000,hull,CAD,234351,01/09/2023,623
Marine TLO,R0208A99    ,1999,hull,USD,18852,01/09/2023,623
Marine TLO,R0208A99    ,1999,hull,GBP,6452,01/09/2023,623
Marine QS,R0532A06,2006,cargo,USD,75,01/09/2023,No Entity
Marine QS,R0532A05,2005,cargo,USD,296,01/09/2023,No Entity
Marine TLO,R0207A02,2002,hull,USD,19310,01/09/2023,3623
Marine TLO,R0207A01,2001,hull,USD,2744,01/09/2023,3623
GOMQS,R0584A09    ,2009,Energy Liab and Cas,USD,3576,01/09/2023,No Entity
GOMQS,R0584A09    ,2009,Energy Liab and Cas,GBP,269,01/09/2023,No Entity
GOMQS,R0584A09    ,2009,Energy PD,USD,210968,01/09/2023,No Entity
GOMQS,R0584A09    ,2009,Energy PD,GBP,8482,01/09/2023,No Entity
GOMQS,R0584A09    ,2009,Energy PD,CAD,358,01/09/2023,No Entity
GOMQS,R0584A09    ,2009,war,USD,862,01/09/2023,No Entity
GOMQS,R0584A06,2006,Energy Liab and Cas,USD,9119,01/09/2023,No Entity
GOMQS,R0584A06,2006,Energy PD,USD,705401,01/09/2023,No Entity
GOMQS,R0584A06,2006,war,USD,3518,01/09/2023,No Entity
Aviation XOL,R0847A14,2014,Aviation Liab,USD,10348.5718,01/09/2023,No Entity
Aviation XOL,R0847A14,2014,Aviation PD,USD,16578.53949,01/09/2023,No Entity
Aviation XOL,R0847A14,2014,Satellite,USD,72.88870998,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A18,2018,Contingency,GBP,44027,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A17,2017,Contingency,GBP,6364,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A16,2016,Contingency,GBP,36192,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A15,2015,Contingency,GBP,30316,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A14,2014,Contingency,GBP,37889,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A13,2013,Contingency,GBP,55914,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A12,2012,Contingency,GBP,44413,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A11,2011,Contingency,GBP,65976,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A10,2010,Contingency,GBP,41993,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A09    ,2009,Contingency,GBP,7819,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A08    ,2008,Contingency,GBP,30616,01/09/2023,No Entity
SYMONS - Contingency QS,R0596A06    ,2006,Contingency,GBP,15798,01/09/2023,No Entity
GGLOBE - Contingency Surplus,R0664A10 ,2010,Contingency,GBP,20452,01/09/2023,No Entity
GGLOBE - Contingency Surplus,R0664A09    ,2009,Contingency,GBP,10561,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A16,2016,Contingency,GBP,93507,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A15,2015,Contingency,GBP,51909.9709,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A15,2015,BUSA Contingency         ,GBP,4717.0291,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A14,2014,Contingency,GBP,55034.1729,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A14,2014,BUSA Contingency         ,GBP,1602.8271,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A13,2013,Contingency,GBP,82689.3484,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A13,2013,BUSA Contingency         ,GBP,3778.6516,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A11,2011,Contingency,GBP,5559,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A10    ,2010,Contingency,GBP,40945,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A09    ,2009,Contingency,GBP,110378,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A08    ,2008,Contingency,GBP,410099,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A08    ,2008,SAT,GBP,82,01/09/2023,No Entity
OSCAR - Contingency QS,R0603A07    ,2007,Contingency,GBP,57474,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A21,2021,Political,USD,100647,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A20,2020,Political,USD,639031,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A19,2019,Political,USD,83479,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A18,2018,Political,USD,1190490,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A17,2017,Political,USD,774772,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A16,2016,Political,USD,1269200,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A15,2015,Political,USD,706197,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A13,2013,Political,USD,316787,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A12,2012,Political,USD,645229,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A11,2011,Political,USD,931404,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A10,2010,Political,USD,1137300,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A07,2007,Political,USD,300455,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A06,2006,Political,USD,1291759,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A05    ,2005,Political,USD,951692,01/09/2023,No Entity
MINIMU - Political Risks QS,R0404A04,2004,Political,USD,59085,01/09/2023,No Entity
Political Risks QS,R0286A01    ,2001,Political,USD,648991,01/09/2023,No Entity
Political Risks QS,R0514A05    ,2005,SAT,USD,1174624,01/09/2023,No Entity
Political Risks QS,R0514A05    ,2005,SAT,GBP,119818,01/09/2023,No Entity
Political Risks QS,R0514A05    ,2005,SAT,CAD,38093,01/09/2023,No Entity
Political Risks QS,R0514A05    ,2005,SAT,EUR,316418,01/09/2023,No Entity
Political Risks QS,R0514A04    ,2004,SAT,USD,984271,01/09/2023,No Entity
Political Risks QS,R0514A04    ,2004,SAT,GBP,121625,01/09/2023,No Entity
Political Risks QS,R0514A04    ,2004,SAT,CAD,32795,01/09/2023,No Entity
Political Risks QS,R0514A04    ,2004,SAT,EUR,279850,01/09/2023,No Entity
STORK Terror QS,R0661A08    ,2008,SAT,USD,87390,01/09/2023,No Entity
STORK Terror QS,R0661A08    ,2008,SAT,GBP,3588,01/09/2023,No Entity
STORK Terror QS,R0661A08    ,2008,SAT,CAD,11670,01/09/2023,No Entity
STORK Terror QS,R0661A08    ,2008,SAT,EUR,23952,01/09/2023,No Entity
STORK Terror QS,R0661B08    ,2008,SAT,USD,9173,01/09/2023,No Entity
DARGO - Contingency QS (Australia),R0805A11 ,2011,Contingency,GBP,873,01/09/2023,No Entity
Weather Contingency QS & Surplus,R0844A12,2012,Bici Contingency,USD,721,01/09/2023,No Entity
Terrorism QS,R0384A03    ,2003,SAT,GBP,429794,01/09/2023,No Entity
Terrorism QS,R0384A02    ,2002,SAT,GBP,335670,01/09/2023,No Entity
