PK_Transaction,Scenario,Account,Dataset,DateOfFact,BusinessKey,PolicyNumber,InceptionDate,ExpiryDate,BindDate,DueDate,TrifocusCode,Entity,YOA,TypeOfBusiness,StatsCode,SettlementCCY,OriginalCCY,IsToDate,Value,RowHash,FK_Allocation,DeltaType,AuditSourceBatchID,AuditCreateDateTime,AuditGenerateDateTime,AuditUserCreate,AuditHost,Basis,Location,ValueOrig,BusinessProcessCode,FK_Batch,BoundDate,ExcelRowHash,RunNumber,BeazleyCatCode
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Mexico Earthquakes|Inwards|2016|USD|Syndicate 623|Mexico Earthquake II|2017|19/09/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2016,-,,USD,USD,Y,45000,,,New,,,,,,E,-,45000,T1,,,Treaty|Cat|Mexico Earthquakes|Inwards|2016|USD|Syndicate 623|Mexico Earthquake II|2017|19/09/2017|TRI00004,0,17J         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Mexico Earthquakes|Inwards|2016|USD|Syndicate 2623|Mexico Earthquake II|2017|19/09/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2016,-,,USD,USD,Y,205000,,,New,,,,,,E,-,205000,T1,,,Treaty|Cat|Mexico Earthquakes|Inwards|2016|USD|Syndicate 2623|Mexico Earthquake II|2017|19/09/2017|TRI00004,0,17J         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Fort McMurray|Inwards|2016|USD|Syndicate 623|Fort McMurray Wildfire|2016|01/05/2016,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2016,-,,USD,USD,Y,244800,,,New,,,,,,E,-,244800,T1,,,Treaty|Cat|Fort McMurray|Inwards|2016|USD|Syndicate 623|Fort McMurray Wildfire|2016|01/05/2016|TRI00004,0,16D         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Fort McMurray|Inwards|2016|USD|Syndicate 2623|Fort McMurray Wildfire|2016|01/05/2016,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2016,-,,USD,USD,Y,1115200,,,New,,,,,,E,-,1115200,T1,,,Treaty|Cat|Fort McMurray|Inwards|2016|USD|Syndicate 2623|Fort McMurray Wildfire|2016|01/05/2016|TRI00004,0,16D         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Hurricane Matthew|Inwards|2016|USD|Syndicate 623|Hurricane Matthew|2016|28/09/2016,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2016,-,,USD,USD,Y,81000,,,New,,,,,,E,-,81000,T1,,,Treaty|Cat|Hurricane Matthew|Inwards|2016|USD|Syndicate 623|Hurricane Matthew|2016|28/09/2016|TRI00004,0,16L         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Hurricane Matthew|Inwards|2016|USD|Syndicate 2623|Hurricane Matthew|2016|28/09/2016,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2016,-,,USD,USD,Y,369000,,,New,,,,,,E,-,369000,T1,,,Treaty|Cat|Hurricane Matthew|Inwards|2016|USD|Syndicate 2623|Hurricane Matthew|2016|28/09/2016|TRI00004,0,16L         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Hurricane Harvey|Inwards|2017|USD|Syndicate 623|Hurricane Harvey|2017|17/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2017,-,,USD,USD,Y,291600,,,New,,,,,,E,-,291600,T1,,,Treaty|Cat|Hurricane Harvey|Inwards|2017|USD|Syndicate 623|Hurricane Harvey|2017|17/08/2017|TRI00004,0,17F         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Hurricane Harvey|Inwards|2017|USD|Syndicate 2623|Hurricane Harvey|2017|17/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2017,-,,USD,USD,Y,1328400,,,New,,,,,,E,-,1328400,T1,,,Treaty|Cat|Hurricane Harvey|Inwards|2017|USD|Syndicate 2623|Hurricane Harvey|2017|17/08/2017|TRI00004,0,17F         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Hurricane Irma|Inwards|2017|USD|Syndicate 623|Hurricane Irma|2017|30/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2017,-,,USD,USD,Y,2158200,,,New,,,,,,E,-,2158200,T1,,,Treaty|Cat|Hurricane Irma|Inwards|2017|USD|Syndicate 623|Hurricane Irma|2017|30/08/2017|TRI00004,0,17G         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Hurricane Irma|Inwards|2017|USD|Syndicate 2623|Hurricane Irma|2017|30/08/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2017,-,,USD,USD,Y,9831800,,,New,,,,,,E,-,9831800,T1,,,Treaty|Cat|Hurricane Irma|Inwards|2017|USD|Syndicate 2623|Hurricane Irma|2017|30/08/2017|TRI00004,0,17G         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Hurricane Maria|Inwards|2017|USD|Syndicate 623|Hurricane Maria|2017|16/09/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2017,-,,USD,USD,Y,315900,,,New,,,,,,E,-,315900,T1,,,Treaty|Cat|Hurricane Maria|Inwards|2017|USD|Syndicate 623|Hurricane Maria|2017|16/09/2017|TRI00004,0,17H         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Hurricane Maria|Inwards|2017|USD|Syndicate 2623|Hurricane Maria|2017|16/09/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2017,-,,USD,USD,Y,1439100,,,New,,,,,,E,-,1439100,T1,,,Treaty|Cat|Hurricane Maria|Inwards|2017|USD|Syndicate 2623|Hurricane Maria|2017|16/09/2017|TRI00004,0,17H         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Mexico Earthquakes|Inwards|2017|USD|Syndicate 623|Mexico Earthquake II|2017|19/09/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2017,-,,USD,USD,Y,90000,,,New,,,,,,E,-,90000,T1,,,Treaty|Cat|Mexico Earthquakes|Inwards|2017|USD|Syndicate 623|Mexico Earthquake II|2017|19/09/2017|TRI00004,0,17J         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|Mexico Earthquakes|Inwards|2017|USD|Syndicate 2623|Mexico Earthquake II|2017|19/09/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2017,-,,USD,USD,Y,410000,,,New,,,,,,E,-,410000,T1,,,Treaty|Cat|Mexico Earthquakes|Inwards|2017|USD|Syndicate 2623|Mexico Earthquake II|2017|19/09/2017|TRI00004,0,17J         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|California Wildfire|Inwards|2017|USD|Syndicate 623|California Wildfires|2017|20/04/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,623,2017,-,,USD,USD,Y,1085400,,,New,,,,,,E,-,1085400,T1,,,Treaty|Cat|California Wildfire|Inwards|2017|USD|Syndicate 623|California Wildfires|2017|20/04/2017|TRI00004,0,17L         
,F,RP-ULT-G,RIPsEventAlloc,2018-12-01,Treaty|Cat|California Wildfire|Inwards|2017|USD|Syndicate 2623|California Wildfires|2017|20/04/2017,NOPOLICY,1980-01-01,1980-01-01,1980-01-01,1980-01-01,TRI00004,2623,2017,-,,USD,USD,Y,4944600,,,New,,,,,,E,-,4944600,T1,,,Treaty|Cat|California Wildfire|Inwards|2017|USD|Syndicate 2623|California Wildfires|2017|20/04/2017|TRI00004,0,17L         
